index,Diện tích,Dài,Rộng,Giá/m2,Ngày
37331.0,200 m²,22 m,9 m,"127,5 triệu/m²",2020_07_31
37338.0,42 m²,11 m,3.8 m,"102,38 triệu/m²",2020_07_31
37339.0,35 m²,15 m,3 m,"88,57 triệu/m²",2020_07_31
37345.0,55 m²,11 m,5 m,"183,64 triệu/m²",2020_07_31
37349.0,40 m²,10 m,4 m,"107,5 triệu/m²",2020_07_31
37353.0,120 m²,12 m,10 m,550 triệu/m²,2020_07_31
37361.0,57 m²,14 m,4 m,"122,81 triệu/m²",2020_07_31
37365.0,45 m²,11 m,4 m,"63,78 triệu/m²",2020_07_31
37371.0,32 m²,12 m,3 m,"45,31 triệu/m²",2020_07_31
37377.0,48 m²,15 m,3.2 m,"60,42 triệu/m²",2020_07_31
37378.0,36 m²,9 m,4 m,"73,61 triệu/m²",2020_07_31
37380.0,39 m²,11 m,3.6 m,"82,05 triệu/m²",2020_07_31
37382.0,55 m²,15 m,3.5 m,80 triệu/m²,2020_07_31
37383.0,44 m²,13 m,3.5 m,"67,05 triệu/m²",2020_07_31
37384.0,35 m²,6 m,6 m,"182,86 triệu/m²",2020_07_31
37387.0,110 m²,11 m,10 m,"112,73 triệu/m²",2020_07_31
37388.0,100 m²,19 m,5.5 m,92 triệu/m²,2020_07_31
37389.0,35 m²,9 m,4 m,"112,86 triệu/m²",2020_07_31
37390.0,55 m²,8 m,7 m,"78,18 triệu/m²",2020_07_31
37394.0,70 m²,18 m,4 m,"78,57 triệu/m²",2020_07_31
37395.0,39 m²,10.5 m,3.7 m,"64,1 triệu/m²",2020_07_31
37396.0,70 m²,13 m,5 m,"54,29 triệu/m²",2020_07_31
37405.0,42 m²,8 m,4.5 m,"80,95 triệu/m²",2020_07_31
37408.0,43 m²,18 m,3.4 m,"109,3 triệu/m²",2020_07_31
37416.0,45 m²,11 m,4 m,110 triệu/m²,2020_07_31
37418.0,30 m²,8 m,4 m,75 triệu/m²,2020_07_31
37421.0,40 m²,10 m,4 m,80 triệu/m²,2020_07_31
37422.0,37 m²,11.5 m,3.2 m,"5,41 triệu/m²",2020_07_31
37424.0,75 m²,18 m,4 m,"266,67 triệu/m²",2020_07_31
37425.0,40 m²,8 m,5 m,"108,75 triệu/m²",2020_07_31
37426.0,60 m²,12 m,5 m,"37,5 triệu/m²",2020_07_31
37432.0,36 m²,12 m,3 m,200 triệu/m²,2020_07_31
37442.0,33 m²,8 m,4 m,"77,27 triệu/m²",2020_07_31
37444.0,68 m²,14 m,5 m,"166,18 triệu/m²",2020_07_31
37447.0,35 m²,15 m,6 m,"177,14 triệu/m²",2020_07_31
37449.0,50 m²,12 m,4 m,132 triệu/m²,2020_07_31
37450.0,22 m²,6 m,4 m,"71,82 triệu/m²",2020_07_31
37451.0,25 m²,5 m,5 m,98 triệu/m²,2020_07_31
37452.0,43 m²,62 m,65 m,"134,88 triệu/m²",2020_07_31
37456.0,40 m²,18 m,3 m,75 triệu/m²,2020_07_31
37461.0,30 m²,10 m,3 m,"98,33 triệu/m²",2020_07_31
37466.0,35 m²,10 m,3.6 m,"72,86 triệu/m²",2020_07_31
37468.0,36 m²,10 m,36 m,"61,11 triệu/m²",2020_07_31
37470.0,41 m²,10 m,4 m,"90,24 triệu/m²",2020_07_31
37473.0,32 m²,10 m,3 m,"203,13 triệu/m²",2020_07_31
37483.0,70 m²,11 m,6 m,"285,71 triệu/m²",2020_07_31
37485.0,67 m²,11 m,6 m,"302,99 triệu/m²",2020_07_31
37490.0,58 m²,13 m,4 m,"100,86 triệu/m²",2020_07_31
37491.0,38 m²,10 m,4 m,"123,68 triệu/m²",2020_07_31
37494.0,35 m²,8 m,5 m,"52,86 triệu/m²",2020_07_31
37495.0,36 m²,8 m,4 m,"68,06 triệu/m²",2020_07_31
37496.0,35 m²,9 m,4 m,"88,57 triệu/m²",2020_07_31
37497.0,45 m²,12 m,4 m,"95,56 triệu/m²",2020_07_31
37503.0,35 m²,10 m,4 m,80 triệu/m²,2020_07_31
37504.0,60 m²,12 m,4 m,75 triệu/m²,2020_07_31
37508.0,47 m²,8 m,5 m,"57,45 triệu/m²",2020_07_31
37510.0,40 m²,10 m,4 m,"62,5 triệu/m²",2020_07_31
37512.0,27 m²,20 m,4.5 m,"240,74 triệu/m²",2020_07_31
37514.0,36 m²,15 m,18 m,"76,39 triệu/m²",2020_07_31
37519.0,35 m²,10 m,4 m,80 triệu/m²,2020_07_31
37525.0,88 m²,20 m,4 m,"128,41 triệu/m²",2020_07_31
37528.0,40 m²,1108 m,361 m,70 triệu/m²,2020_07_31
37530.0,34 m²,979 m,395 m,"53,82 triệu/m²",2020_07_31
37531.0,41 m²,10 m,4 m,"90,24 triệu/m²",2020_07_31
37532.0,67 m²,23 m,2 m,"2,24 triệu/m²",2020_07_31
37537.0,40 m²,10 m,4 m,"33,75 triệu/m²",2020_07_31
37543.0,30 m²,8 m,4 m,"98,67 triệu/m²",2020_07_31
37544.0,65 m²,16 m,3.9 m,"123,08 triệu/m²",2020_07_31
37547.0,36 m²,12 m,3 m,"77,78 triệu/m²",2020_07_31
37550.0,68 m²,17 m,4 m,"89,71 triệu/m²",2020_07_31
37554.0,37 m²,9 m,4 m,"117,57 triệu/m²",2020_07_31
37557.0,35 m²,7 m,4 m,"62,86 triệu/m²",2020_07_31
37559.0,32 m²,7 m,5 m,"78,13 triệu/m²",2020_07_31
37564.0,38 m²,8 m,5 m,"65,79 triệu/m²",2020_07_31
37565.0,25 m²,9 m,3 m,88 triệu/m²,2020_07_31
37566.0,31 m²,8 m,4 m,"56,45 triệu/m²",2020_07_31
37568.0,71 m²,19 m,3 m,"86,62 triệu/m²",2020_07_31
37573.0,22 m²,7 m,3 m,"84,09 triệu/m²",2020_07_31
37574.0,36 m²,12 m,3 m,"116,94 triệu/m²",2020_07_31
37575.0,35 m²,6 m,6 m,"88,57 triệu/m²",2020_07_31
37578.0,32 m²,6 m,5 m,"145,31 triệu/m²",2020_07_31
37579.0,45 m²,14 m,3.3 m,"144,44 triệu/m²",2020_07_31
37581.0,18 m²,6 m,3 m,"97,22 triệu/m²",2020_07_31
37585.0,23 m²,4 m,4 m,"89,13 triệu/m²",2020_07_31
37586.0,33 m²,9 m,4 m,"118,18 triệu/m²",2020_07_31
37589.0,41 m²,8 m,5 m,"92,68 triệu/m²",2020_07_31
37593.0,33 m²,9 m,3.5 m,"84,85 triệu/m²",2020_07_31
37600.0,70 m²,7 m,10 m,70 triệu/m²,2020_07_31
37604.0,30 m²,10 m,3 m,"98,33 triệu/m²",2020_07_31
37605.0,55 m²,12 m,4 m,"22,73 triệu/m²",2020_07_31
37607.0,61 m²,4 m,4 m,"45,57 triệu/m²",2020_07_31
37609.0,40 m²,10 m,4 m,"77,5 triệu/m²",2020_07_31
37615.0,70 m²,17 m,4 m,90 triệu/m²,2020_07_31
37617.0,72 m²,11.5 m,6.2 m,"58,33 triệu/m²",2020_07_31
37623.0,48 m²,10 m,4 m,"154,17 triệu/m²",2020_07_31
37624.0,60 m²,12 m,5 m,"111,67 triệu/m²",2020_07_31
37627.0,80 m²,13 m,6 m,"68,75 triệu/m²",2020_07_31
37628.0,47 m²,10 m,4 m,"117,02 triệu/m²",2020_07_31
37631.0,32 m²,10 m,3 m,175 triệu/m²,2020_07_31
37636.0,18 m²,6 m,3.4 m,"104,44 triệu/m²",2020_07_31
37645.0,32 m²,6 m,5 m,"145,31 triệu/m²",2020_07_31
37646.0,31 m²,8 m,4 m,"77,42 triệu/m²",2020_07_31
37652.0,35 m²,10 m,3 m,100 triệu/m²,2020_07_31
37657.0,40 m²,10 m,4 m,90 triệu/m²,2020_07_31
37658.0,42 m²,10 m,4 m,"61,9 triệu/m²",2020_07_31
37666.0,55 m²,15.7 m,3.5 m,"118,18 triệu/m²",2020_07_31
37667.0,35 m²,9 m,4 m,"68,57 triệu/m²",2020_07_31
37669.0,35 m²,10 m,3 m,"68,57 triệu/m²",2020_07_31
37671.0,36 m²,12 m,3 m,"101,39 triệu/m²",2020_07_31
37677.0,13 m²,6 m,2.5 m,"119,23 triệu/m²",2020_07_31
37686.0,38 m²,10 m,3 m,"63,95 triệu/m²",2020_07_31
37687.0,14 m²,3 m,3 m,"48,57 triệu/m²",2020_07_31
37691.0,40 m²,10 m,4 m,"76,25 triệu/m²",2020_07_31
37694.0,40 m²,10 m,3 m,"76,25 triệu/m²",2020_07_31
37700.0,35 m²,10 m,4 m,"75,71 triệu/m²",2020_07_31
37704.0,60 m²,12 m,4 m,"216,67 triệu/m²",2020_07_31
37706.0,101 m²,19 m,5 m,"34,65 triệu/m²",2020_07_31
37716.0,43 m²,8 m,5 m,"127,91 triệu/m²",2020_07_31
37717.0,62 m²,14 m,4.2 m,"64,52 triệu/m²",2020_07_31
37723.0,47 m²,5 m,5 m,"101,06 triệu/m²",2020_07_31
37727.0,55 m²,12 m,5 m,"47,27 triệu/m²",2020_07_31
37735.0,35 m²,10 m,3.5 m,"94,29 triệu/m²",2020_07_31
37736.0,32 m²,5 m,3 m,"95,31 triệu/m²",2020_07_31
37740.0,34 m²,10 m,34 m,"86,76 triệu/m²",2020_07_31
37741.0,40 m²,10 m,4 m,90 triệu/m²,2020_07_31
37748.0,42 m²,9 m,5 m,"78,57 triệu/m²",2020_07_31
37749.0,48 m²,12 m,4 m,"66,67 triệu/m²",2020_07_31
37750.0,32 m²,8 m,4 m,"83,75 triệu/m²",2020_07_31
37755.0,48 m²,12 m,42 m,150 triệu/m²,2020_07_31
37757.0,105 m²,21 m,5 m,780.952 đ/m²,2020_07_31
37759.0,38 m²,12 m,4 m,"73,68 triệu/m²",2020_07_31
37760.0,40 m²,10 m,4 m,"102,5 triệu/m²",2020_07_31
37761.0,35 m²,8 m,4 m,94 triệu/m²,2020_07_31
37763.0,60 m²,15 m,4 m,105 triệu/m²,2020_07_31
37771.0,32 m²,11 m,3 m,"90,63 triệu/m²",2020_07_31
37774.0,35 m²,8 m,4 m,"85,71 triệu/m²",2020_07_31
37780.0,35 m²,10 m,35 m,"62,86 triệu/m²",2020_07_31
37786.0,35 m²,3 m,3 m,"57,14 triệu/m²",2020_07_31
37788.0,60 m²,15 m,4 m,90 triệu/m²,2020_07_31
37794.0,45 m²,10 m,4 m,"62,22 triệu/m²",2020_07_31
37797.0,95 m²,21 m,4 m,"46,32 triệu/m²",2020_07_31
37799.0,38 m²,10 m,5 m,"98,68 triệu/m²",2020_07_31
37803.0,30 m²,6.8 m,4.42 m,80 triệu/m²,2020_07_31
37808.0,25 m²,9 m,3 m,"64,8 triệu/m²",2020_07_31
37812.0,39 m²,13 m,3 m,"82,05 triệu/m²",2020_07_31
37813.0,34 m²,12 m,3.3 m,"205,88 triệu/m²",2020_07_31
37820.0,52 m²,11 m,5 m,"115,38 triệu/m²",2020_07_31
37823.0,40 m²,10 m,4 m,180 triệu/m²,2020_07_31
37824.0,37 m²,9 m,4 m,"78,38 triệu/m²",2020_07_31
37829.0,31 m²,10 m,3 m,"90,32 triệu/m²",2020_07_31
37830.0,66 m²,13 m,5 m,"43,94 triệu/m²",2020_07_31
37831.0,32 m²,8 m,4 m,"71,88 triệu/m²",2020_07_31
37833.0,33 m²,8 m,4 m,"93,94 triệu/m²",2020_07_31
37837.0,52 m²,11 m,5 m,"153,85 triệu/m²",2020_07_31
37838.0,65 m²,11 m,6 m,"192,31 triệu/m²",2020_07_31
37842.0,66 m²,17 m,4 m,"181,82 triệu/m²",2020_07_31
37844.0,55 m²,11 m,4 m,"123,64 triệu/m²",2020_07_31
37848.0,54 m²,9 m,6 m,"148,15 triệu/m²",2020_07_31
37854.0,28 m²,9 m,3 m,"101,79 triệu/m²",2020_07_31
37856.0,22 m²,7 m,3 m,100 triệu/m²,2020_07_31
37863.0,50 m²,10 m,5 m,138 triệu/m²,2020_07_31
37866.0,61 m²,17 m,4 m,"72,95 triệu/m²",2020_07_31
37870.0,31 m²,10 m,3 m,"91,94 triệu/m²",2020_07_31
37871.0,46 m²,10 m,4 m,"72,83 triệu/m²",2020_07_31
37876.0,35 m²,7450 m,4600 m,"37,14 triệu/m²",2020_07_31
37883.0,40 m²,8 m,5 m,50 triệu/m²,2020_07_31
37890.0,47 m²,10.9 m,4.3 m,"57,45 triệu/m²",2020_07_31
37891.0,50 m²,10 m,5 m,73 triệu/m²,2020_07_31
37894.0,39 m²,10 m,4 m,"87,18 triệu/m²",2020_07_31
37896.0,77 m²,11 m,7 m,"49,35 triệu/m²",2020_07_31
37897.0,53 m²,15 m,3 m,"66,98 triệu/m²",2020_07_31
37898.0,30 m²,5 m,6 m,"103,33 triệu/m²",2020_07_31
37913.0,32 m²,11 m,3 m,"87,5 triệu/m²",2020_07_31
37914.0,130 m²,18 m,7 m,"223,08 triệu/m²",2020_07_31
37919.0,35 m²,7 m,5 m,110 triệu/m²,2020_07_31
37922.0,50 m²,10 m,4.5 m,86 triệu/m²,2020_07_31
37925.0,30 m²,5 m,6 m,"93,33 triệu/m²",2020_07_31
37927.0,80 m²,14 m,6 m,"106,25 triệu/m²",2020_07_31
37929.0,45 m²,10 m,4 m,"117,78 triệu/m²",2020_07_31
37932.0,45 m²,9 m,5 m,"88,89 triệu/m²",2020_07_31
37937.0,73 m²,12 m,5 m,"108,22 triệu/m²",2020_07_31
37940.0,73 m²,12 m,5 m,"108,22 triệu/m²",2020_07_31
37942.0,73 m²,13 m,5 m,"108,22 triệu/m²",2020_07_31
37944.0,45 m²,9 m,5 m,100 triệu/m²,2020_07_31
37946.0,65 m²,16 m,4 m,"4,62 triệu/m²",2020_07_31
37950.0,45 m²,9 m,5 m,"102,22 triệu/m²",2020_07_31
37951.0,40 m²,970 m,423 m,"77,5 triệu/m²",2020_07_31
37961.0,67 m²,11 m,4.5 m,"53,73 triệu/m²",2020_07_31
37974.0,33 m²,11 m,3 m,"84,85 triệu/m²",2020_07_31
37980.0,45 m²,9 m,5 m,62.222 đ/m²,2020_07_31
37981.0,35 m²,10 m,4 m,"87,14 triệu/m²",2020_07_31
37990.0,33 m²,9 m,3.6 m,"92,42 triệu/m²",2020_07_31
37991.0,44 m²,11 m,4 m,"97,73 triệu/m²",2020_07_31
37993.0,38 m²,11 m,3 m,"69,74 triệu/m²",2020_07_31
37995.0,45 m²,11 m,4 m,"88,89 triệu/m²",2020_07_31
38007.0,66 m²,15 m,4 m,"143,94 triệu/m²",2020_07_31
38013.0,39 m²,8 m,5 m,"141,03 triệu/m²",2020_07_31
38016.0,41 m²,10 m,4 m,"121,95 triệu/m²",2020_07_31
38019.0,37 m²,5 m,5 m,"94,59 triệu/m²",2020_07_31
38027.0,45 m²,11 m,4 m,"94,44 triệu/m²",2020_07_31
38028.0,24 m²,7 m,3 m,"116,67 triệu/m²",2020_07_31
38029.0,40 m²,8 m,5 m,"82,5 triệu/m²",2020_07_31
38032.0,34 m²,9 m,4 m,"73,53 triệu/m²",2020_07_31
38039.0,64 m²,6 m,5 m,"45,31 triệu/m²",2020_07_31
38047.0,45 m²,11 m,5 m,68.888 đ/m²,2020_07_31
38053.0,55 m²,8.9 m,6.2 m,"123,64 triệu/m²",2020_07_31
38054.0,51 m²,12 m,4.5 m,"207,84 triệu/m²",2020_07_31
38055.0,37 m²,12.3 m,3 m,"106,76 triệu/m²",2020_07_31
38056.0,55 m²,10 m,6 m,"209,09 triệu/m²",2020_07_31
38058.0,114 m²,22.8 m,5 m,"162,28 triệu/m²",2020_07_31
38061.0,25 m²,5 m,5 m,98 triệu/m²,2020_07_31
38062.0,20 m²,7 m,3.3 m,"102,5 triệu/m²",2020_07_31
38063.0,58 m²,14 m,4.4 m,"379,31 triệu/m²",2020_07_31
38065.0,38 m²,13 m,3.1 m,75 triệu/m²,2020_07_31
38066.0,62 m²,11.3 m,5.5 m,"204,84 triệu/m²",2020_07_31
38068.0,50 m²,10 m,5 m,75 triệu/m²,2020_07_31
38071.0,35 m²,11 m,3.2 m,"95,71 triệu/m²",2020_07_31
38077.0,35 m²,9 m,4 m,70 triệu/m²,2020_07_31
38089.0,50 m²,10 m,5 m,140 triệu/m²,2020_07_31
38090.0,30 m²,9 m,3.8 m,110 triệu/m²,2020_07_31
38093.0,73 m²,12.5 m,5.4 m,"108,22 triệu/m²",2020_07_31
38094.0,62 m²,16 m,4 m,"53,23 triệu/m²",2020_07_31
38097.0,30 m²,8 m,3 m,"86,67 triệu/m²",2020_07_31
38104.0,42 m²,9 m,4.5 m,"42,86 triệu/m²",2020_07_31
38108.0,70 m²,16 m,4 m,"128,57 triệu/m²",2020_07_31
38112.0,56 m²,11 m,5 m,"51,79 triệu/m²",2020_07_31
38117.0,68 m²,17 m,4 m,"154,41 triệu/m²",2020_07_31
38122.0,46 m²,11 m,4 m,"180,43 triệu/m²",2020_07_31
38131.0,33 m²,11 m,3 m,"84,85 triệu/m²",2020_07_31
38133.0,20 m²,7 m,3 m,120 triệu/m²,2020_07_31
38134.0,33 m²,8 m,4 m,"65,15 triệu/m²",2020_07_31
38140.0,32 m²,8 m,4 m,"62,5 triệu/m²",2020_07_31
38141.0,35 m²,10 m,3 m,"74,29 triệu/m²",2020_07_31
38144.0,63 m²,18 m,34 m,"67,46 triệu/m²",2020_07_31
38155.0,50 m²,7 m,7 m,96 triệu/m²,2020_07_31
38160.0,53 m²,11 m,5 m,"77,36 triệu/m²",2020_07_31
38168.0,60 m²,7 m,8 m,500 triệu/m²,2020_07_31
38171.0,53 m²,15.5 m,3.3 m,"79,25 triệu/m²",2020_07_31
38174.0,35 m²,10 m,3 m,100 triệu/m²,2020_07_31
38179.0,40 m²,10 m,4 m,"60,75 triệu/m²",2020_07_31
38194.0,400 m²,10 m,4 m,"7,5 triệu/m²",2020_07_31
38196.0,40 m²,10 m,4 m,"60,75 triệu/m²",2020_07_31
38198.0,30 m²,6 m,5 m,"36,67 triệu/m²",2020_07_31
38201.0,33 m²,10 m,33 m,"62,12 triệu/m²",2020_07_31
38209.0,23 m²,7.2 m,3.2 m,"8,04 triệu/m²",2020_07_31
38211.0,33 m²,12 m,4 m,"84,85 triệu/m²",2020_07_31
38213.0,33 m²,7 m,4 m,"87,88 triệu/m²",2020_07_31
38216.0,73 m²,12 m,6 m,"76,71 triệu/m²",2020_07_31
38223.0,34 m²,10 m,3 m,"102,94 triệu/m²",2020_07_31
38225.0,35 m²,10 m,3.5 m,"74,29 triệu/m²",2020_07_31
38228.0,80 m²,15 m,4 m,"23,75 triệu/m²",2020_07_31
38229.0,38 m²,10.86 m,3.5 m,"63,16 triệu/m²",2020_07_31
38231.0,60 m²,12 m,5 m,"66,67 triệu/m²",2020_07_31
38232.0,57 m²,15 m,3 m,"96,49 triệu/m²",2020_07_31
38234.0,31 m²,8.5 m,3.7 m,"62,26 triệu/m²",2020_07_31
38235.0,280 m²,14 m,20 m,"60,71 triệu/m²",2020_07_31
38238.0,31 m²,8 m,4 m,"52,58 triệu/m²",2020_07_31
38239.0,38 m²,7 m,3 m,"84,21 triệu/m²",2020_07_31
38245.0,25 m²,6 m,4 m,100 triệu/m²,2020_07_31
38249.0,91 m²,18 m,5 m,"47,25 triệu/m²",2020_07_31
38254.0,38 m²,9 m,4 m,"55,26 triệu/m²",2020_07_31
38255.0,40 m²,10 m,4 m,"157,5 triệu/m²",2020_07_31
38260.0,110 m²,22 m,5 m,"83,64 triệu/m²",2020_07_31
38263.0,65 m²,13 m,5 m,"61,54 triệu/m²",2020_07_31
38264.0,60 m²,15 m,4 m,15 triệu/m²,2020_07_31
38272.0,50 m²,12 m,4 m,189 triệu/m²,2020_07_31
38275.0,72 m²,12 m,6 m,"58,33 triệu/m²",2020_07_31
38278.0,62 m²,14 m,4 m,"64,52 triệu/m²",2020_07_31
38279.0,41 m²,10 m,3 m,"87,8 triệu/m²",2020_07_31
38280.0,53 m²,13 m,4 m,"9,25 triệu/m²",2020_07_31
38286.0,47 m²,10 m,4 m,"72,34 triệu/m²",2020_07_31
38316.0,34 m²,11 m,3 m,"73,53 triệu/m²",2020_07_31
38318.0,30 m²,85 m,35 m,"101,67 triệu/m²",2020_07_31
38331.0,50 m²,12 m,4 m,330 triệu/m²,2020_07_31
38334.0,62 m²,10 m,6 m,"90,32 triệu/m²",2020_07_31
38343.0,55 m²,10 m,5 m,"53,64 triệu/m²",2020_07_31
38346.0,25 m²,8 m,3.5 m,124 triệu/m²,2020_07_31
38347.0,110 m²,19 m,6 m,"172,73 triệu/m²",2020_07_31
38350.0,35 m²,9 m,4 m,"77,14 triệu/m²",2020_07_31
38362.0,56 m²,9 m,6 m,"169,64 triệu/m²",2020_07_31
38364.0,25 m²,7 m,3 m,94 triệu/m²,2020_07_31
38365.0,38 m²,12 m,38 m,"57,89 triệu/m²",2020_07_31
38370.0,65 m²,13 m,5 m,"76,92 triệu/m²",2020_07_31
38372.0,30 m²,9 m,3.5 m,"81,67 triệu/m²",2020_07_31
38381.0,35 m²,9 m,4 m,"82,86 triệu/m²",2020_07_31
38383.0,40 m²,10 m,4 m,"86,25 triệu/m²",2020_07_31
38387.0,60 m²,10 m,6 m,"158,33 triệu/m²",2020_07_31
38392.0,40 m²,7 m,4 m,"73,75 triệu/m²",2020_07_31
38395.0,48 m²,12 m,4 m,"72,92 triệu/m²",2020_07_31
38397.0,37 m²,10.5 m,3.5 m,"86,49 triệu/m²",2020_07_31
38400.0,33 m²,7 m,4 m,"104,55 triệu/m²",2020_07_31
38412.0,45 m²,12.8 m,3.5 m,"206,67 triệu/m²",2020_07_31
38414.0,35 m²,11 m,3 m,"48,57 triệu/m²",2020_07_31
38416.0,30 m²,7 m,4 m,65 triệu/m²,2020_07_31
38418.0,45 m²,14 m,3.3 m,500 triệu/m²,2020_07_31
38422.0,38 m²,7 m,5 m,"84,21 triệu/m²",2020_07_31
38424.0,52 m²,13 m,5 m,"384,62 triệu/m²",2020_07_31
38429.0,43 m²,7 m,6.5 m,"134,88 triệu/m²",2020_07_31
38435.0,45 m²,9 m,5 m,30 triệu/m²,2020_07_31
38438.0,45 m²,10 m,4 m,"115,56 triệu/m²",2020_07_31
38443.0,67 m²,17 m,4 m,"140,3 triệu/m²",2020_07_31
38459.0,45 m²,10 m,40 m,100 triệu/m²,2020_07_31
38471.0,52 m²,12 m,4 m,"111,54 triệu/m²",2020_07_31
38473.0,30 m²,5 m,7 m,"81,67 triệu/m²",2020_07_31
38482.0,238 m²,19 m,12 m,"75,63 triệu/m²",2020_07_31
38486.0,55 m²,13 m,4 m,"227,27 triệu/m²",2020_07_31
38498.0,55 m²,4 m,4 m,"105,45 triệu/m²",2020_07_31
38501.0,45 m²,9 m,5 m,"93,33 triệu/m²",2020_07_31
38504.0,73 m²,19 m,4 m,"63,01 triệu/m²",2020_07_31
38506.0,34 m²,9 m,3 m,"36,76 triệu/m²",2020_07_31
38511.0,30 m²,8 m,4 m,"83,33 triệu/m²",2020_07_31
38517.0,34 m²,9 m,3 m,"44,12 triệu/m²",2020_07_31
38522.0,38 m²,12 m,35 m,"226,32 triệu/m²",2020_07_31
38526.0,38 m²,7 m,5 m,100 triệu/m²,2020_07_31
38534.0,79 m²,14 m,6 m,"101,27 triệu/m²",2020_07_31
38540.0,36 m²,10 m,3 m,"58,33 triệu/m²",2020_07_31
38547.0,35 m²,8 m,4 m,"71,43 triệu/m²",2020_07_31
38548.0,54 m²,13 m,4 m,"61,11 triệu/m²",2020_07_31
38551.0,87 m²,18 m,4 m,"36,78 triệu/m²",2020_07_31
38552.0,29 m²,4 m,4 m,"105,17 triệu/m²",2020_07_31
38553.0,84 m²,10 m,8 m,"30,95 triệu/m²",2020_07_31
38555.0,53 m²,12 m,5 m,"188,68 triệu/m²",2020_07_31
38556.0,55 m²,12 m,4 m,"109,09 triệu/m²",2020_07_31
38558.0,38 m²,9 m,4 m,"118,42 triệu/m²",2020_07_31
38559.0,35 m²,9 m,42 m,"155,71 triệu/m²",2020_07_31
38566.0,45 m²,12 m,4 m,"166,67 triệu/m²",2020_07_31
38568.0,45 m²,100 m,100 m,"153,33 triệu/m²",2020_07_31
38581.0,45 m²,9 m,5 m,"142,22 triệu/m²",2020_07_31
38585.0,152 m²,17 m,8 m,"78,95 triệu/m²",2020_07_31
38586.0,45 m²,11 m,4 m,"195,56 triệu/m²",2020_07_31
38587.0,22 m²,8 m,3 m,"99,09 triệu/m²",2020_07_31
38594.0,30 m²,7 m,4 m,"63,33 triệu/m²",2020_07_31
38595.0,30 m²,7 m,4 m,"63,33 triệu/m²",2020_07_31
38603.0,36 m²,9 m,4 m,"163,89 triệu/m²",2020_07_31
38606.0,50 m²,15 m,35 m,94 triệu/m²,2020_07_31
38613.0,34 m²,9 m,3 m,"94,12 triệu/m²",2020_07_31
38614.0,25 m²,5 m,5 m,218 triệu/m²,2020_07_31
38629.0,60 m²,5 m,12 m,"98,33 triệu/m²",2020_07_31
38634.0,52 m²,70 m,75 m,"48,08 triệu/m²",2020_07_31
38641.0,32 m²,10 m,3 m,"181,25 triệu/m²",2020_07_31
38647.0,48 m²,8 m,6 m,"166,67 triệu/m²",2020_07_31
38648.0,40 m²,9 m,4 m,"56,25 triệu/m²",2020_07_31
38651.0,48 m²,12 m,4 m,93.750 đ/m²,2020_07_31
38656.0,45 m²,11 m,4 m,"124,44 triệu/m²",2020_07_31
38659.0,50 m²,10 m,5 m,75 triệu/m²,2020_07_31
38661.0,75 m²,12 m,6 m,73.333 đ/m²,2020_07_31
38666.0,30 m²,8 m,4 m,"103,33 triệu/m²",2020_07_31
38668.0,55 m²,13.75 m,4 m,120 triệu/m²,2020_07_31
38674.0,406 m²,20 m,20 m,"172,41 triệu/m²",2020_07_31
38676.0,30 m²,8 m,4 m,"55,33 triệu/m²",2020_07_31
38677.0,35 m²,6 m,5 m,"85,71 triệu/m²",2020_07_31
38680.0,30 m²,8 m,4 m,60 triệu/m²,2020_07_31
38682.0,33 m²,10 m,46 m,"78,79 triệu/m²",2020_07_31
38683.0,55 m²,11 m,5 m,100 triệu/m²,2020_07_31
38684.0,28 m²,9 m,3 m,"87,5 triệu/m²",2020_07_31
38689.0,48 m²,12 m,3 m,"59,58 triệu/m²",2020_07_31
38695.0,48 m²,12 m,4 m,"59,38 triệu/m²",2020_07_31
38696.0,39 m²,11 m,3.5 m,"107,69 triệu/m²",2020_07_31
38701.0,65 m²,13 m,5 m,"184,62 triệu/m²",2020_07_31
38705.0,39 m²,12 m,3.5 m,"98,72 triệu/m²",2020_07_31
38712.0,120 m²,12 m,10 m,"333,33 triệu/m²",2020_07_31
38714.0,45 m²,15 m,3 m,"91,11 triệu/m²",2020_07_31
38716.0,45 m²,14 m,3.3 m,"144,44 triệu/m²",2020_07_31
38723.0,45 m²,14 m,3.3 m,"144,44 triệu/m²",2020_07_31
38725.0,45 m²,4 m,4 m,"124,44 triệu/m²",2020_07_31
38726.0,57 m²,14 m,4 m,"73,68 triệu/m²",2020_07_31
38727.0,40 m²,9 m,4 m,"56,25 triệu/m²",2020_07_31
38731.0,35 m²,4 m,4 m,"22,86 triệu/m²",2020_07_31
38737.0,77 m²,13 m,5 m,"34,42 triệu/m²",2020_07_31
38738.0,80 m²,13 m,6 m,"63,75 triệu/m²",2020_07_31
38739.0,31 m²,8 m,3 m,"41,94 triệu/m²",2020_07_31
38748.0,47 m²,9 m,5 m,"48,94 triệu/m²",2020_07_31
38754.0,30 m²,9 m,4 m,"96,67 triệu/m²",2020_07_31
38757.0,60 m²,15 m,4 m,"88,33 triệu/m²",2020_07_31
38759.0,30 m²,6 m,5 m,"96,63 triệu/m²",2020_07_31
38768.0,33 m²,10 m,3 m,100 triệu/m²,2020_07_31
38770.0,47 m²,11 m,4 m,"65,96 triệu/m²",2020_07_31
38779.0,52 m²,12 m,4 m,"110,58 triệu/m²",2020_07_31
38784.0,35 m²,9 m,4 m,"94,29 triệu/m²",2020_07_31
